Gar_LG	species	ortholog_chrom	anchors	pct_of_LG	secondary_chrom(anchors)
C_gar_LG05	I_punctatus	7	37	100%	-
C_gar_LG05	N_graeffei	9	35	95%	-
C_gar_LG05	P_hypophthalmus	5	37	100%	-
C_gar_LG05	P_lineatus	2	37	100%	-
C_gar_LG05	S_aristotelis	3	37	100%	-
C_gar_LG05	S_meridionalis	5	37	100%	-
C_gar_LG05	T_fulvidraco	6	37	100%	-
C_gar_LG05	T_rosablanca	12	37	100%	-
C_gar_LG05	T_vachellii	8	37	100%	-
C_gar_LG05	fClaHyb_Gar	C_gar_LG05	37	100%	-
C_gar_LG05	fClaHyb_Mac	C_mac_LG03	37	100%	-
C_gar_LG06	A_melas	16	29	78%	14(6)
C_gar_LG06	C_apus	9	35	95%	-
C_gar_LG06	C_bouderius	3	31	84%	26(6)
C_gar_LG06	C_fuscus	3	37	100%	-
C_gar_LG06	C_gariepinus	6	37	100%	-
C_gar_LG06	H_wyckioides	5	37	100%	-
C_gar_LG06	I_furcatus	15	31	84%	12(6)
C_gar_LG06	I_punctatus	14	31	84%	8(6)
C_gar_LG06	N_graeffei	4	36	97%	-
C_gar_LG06	P_hypophthalmus	2	37	100%	-
C_gar_LG06	P_lineatus	14	31	84%	3(6)
C_gar_LG06	S_aristotelis	2	37	100%	-
C_gar_LG06	S_meridionalis	2	37	100%	-
C_gar_LG06	T_fulvidraco	3	37	100%	-
C_gar_LG06	T_rosablanca	5	37	100%	-
C_gar_LG06	T_vachellii	4	37	100%	-
C_gar_LG06	fClaHyb_Gar	C_gar_LG06	37	100%	-
C_gar_LG06	fClaHyb_Mac	C_mac_LG26	37	100%	-
C_gar_LG07	A_melas	3	32	65%	26(17)
C_gar_LG07	C_apus	7	26	53%	28(23)
C_gar_LG07	C_bouderius	23	26	53%	32(23)
C_gar_LG07	C_fuscus	7	49	100%	-
C_gar_LG07	C_gariepinus	7	49	100%	-
C_gar_LG07	H_wyckioides	6	49	100%	-
C_gar_LG07	I_furcatus	4	49	100%	-
C_gar_LG07	I_punctatus	4	49	100%	-
C_gar_LG07	N_graeffei	6	49	100%	-
C_gar_LG07	P_hypophthalmus	6	49	100%	-
C_gar_LG07	P_lineatus	12	26	53%	1(23)
C_gar_LG07	S_aristotelis	10	49	100%	-
C_gar_LG07	S_meridionalis	7	49	100%	-
C_gar_LG07	T_fulvidraco	9	49	100%	-
C_gar_LG07	T_rosablanca	11	48	98%	-
C_gar_LG07	T_vachellii	9	49	100%	-
C_gar_LG07	fClaHyb_Gar	C_gar_LG07	49	100%	-
C_gar_LG07	fClaHyb_Mac	C_mac_LG05	48	98%	-
C_gar_LG08	A_melas	4	53	100%	-
C_gar_LG08	C_apus	15	38	72%	22(15)
C_gar_LG08	C_bouderius	2	27	51%	12(11)
C_gar_LG08	C_fuscus	8	53	100%	-
C_gar_LG08	C_gariepinus	8	53	100%	-
C_gar_LG08	H_wyckioides	3	53	100%	-
C_gar_LG08	I_furcatus	3	53	100%	-
C_gar_LG08	I_punctatus	3	53	100%	-
C_gar_LG08	N_graeffei	7	53	100%	-
C_gar_LG08	P_hypophthalmus	3	53	100%	-
C_gar_LG08	P_lineatus	9	53	100%	-
C_gar_LG08	S_aristotelis	4	53	100%	-
C_gar_LG08	S_meridionalis	3	53	100%	-
C_gar_LG08	T_fulvidraco	5	53	100%	-
C_gar_LG08	T_rosablanca	6	53	100%	-
C_gar_LG08	T_vachellii	6	53	100%	-
C_gar_LG08	fClaHyb_Gar	C_gar_LG08	53	100%	-
C_gar_LG08	fClaHyb_Mac	C_mac_LG04	53	100%	-
C_gar_LG09	A_melas	25	30	60%	29(20)
C_gar_LG09	C_apus	26	25	50%	8(17)
C_gar_LG09	C_bouderius	22	30	60%	15(20)
C_gar_LG09	C_fuscus	10	50	100%	-
C_gar_LG09	C_gariepinus	9	50	100%	-
C_gar_LG09	H_wyckioides	8	50	100%	-
C_gar_LG09	I_furcatus	7	50	100%	-
C_gar_LG09	I_punctatus	5	50	100%	-
C_gar_LG09	N_graeffei	10	50	100%	-
C_gar_LG09	P_hypophthalmus	7	50	100%	-
C_gar_LG09	P_lineatus	22	32	64%	2(18)
C_gar_LG09	S_aristotelis	11	50	100%	-
C_gar_LG09	S_meridionalis	8	50	100%	-
C_gar_LG09	T_fulvidraco	11	50	100%	-
C_gar_LG09	T_rosablanca	7	49	98%	-
C_gar_LG09	T_vachellii	11	50	100%	-
C_gar_LG09	fClaHyb_Gar	C_gar_LG09	50	100%	-
C_gar_LG09	fClaHyb_Mac	C_mac_LG22	50	100%	-
C_gar_LG10	A_melas	3	25	44%	8(19)
C_gar_LG10	C_apus	10	57	100%	-
C_gar_LG10	C_bouderius	27	33	58%	8(24)
C_gar_LG10	C_fuscus	11	57	100%	-
C_gar_LG10	C_gariepinus	10	57	100%	-
C_gar_LG10	H_wyckioides	9	57	100%	-
C_gar_LG10	I_furcatus	8	57	100%	-
C_gar_LG10	I_punctatus	10	57	100%	-
C_gar_LG10	N_graeffei	8	57	100%	-
C_gar_LG10	P_hypophthalmus	9	57	100%	-
C_gar_LG10	P_lineatus	6	32	56%	23(24)
C_gar_LG10	S_aristotelis	14	57	100%	-
C_gar_LG10	S_meridionalis	9	57	100%	-
C_gar_LG10	T_fulvidraco	13	57	100%	-
C_gar_LG10	T_rosablanca	8	57	100%	-
C_gar_LG10	T_vachellii	13	57	100%	-
C_gar_LG10	fClaHyb_Gar	C_gar_LG10	57	100%	-
C_gar_LG10	fClaHyb_Mac	C_mac_LG07	57	100%	-
C_gar_LG11	A_melas	8	35	100%	-
C_gar_LG11	C_apus	23	31	89%	-
C_gar_LG11	C_bouderius	6	15	43%	12(10)
C_gar_LG11	C_fuscus	15	35	100%	-
C_gar_LG11	C_gariepinus	11	35	100%	-
C_gar_LG11	H_wyckioides	12	35	100%	-
C_gar_LG11	I_furcatus	16	35	100%	-
C_gar_LG11	I_punctatus	18	35	100%	-
C_gar_LG11	N_graeffei	17	26	74%	16(9)
C_gar_LG11	P_hypophthalmus	13	35	100%	-
C_gar_LG11	P_lineatus	20	25	71%	8(7)
C_gar_LG11	S_aristotelis	8	35	100%	-
C_gar_LG11	S_meridionalis	14	35	100%	-
C_gar_LG11	T_fulvidraco	15	35	100%	-
C_gar_LG11	T_rosablanca	20	32	91%	-
C_gar_LG11	T_vachellii	15	35	100%	-
C_gar_LG11	fClaHyb_Gar	C_gar_LG11	35	100%	-
C_gar_LG11	fClaHyb_Mac	C_mac_LG19	35	100%	-
C_gar_LG12	A_melas	15	18	100%	-
C_gar_LG12	C_apus	11	18	100%	-
C_gar_LG12	C_bouderius	4	18	100%	-
C_gar_LG12	C_fuscus	21	18	100%	-
C_gar_LG12	C_gariepinus	12	18	100%	-
C_gar_LG12	H_wyckioides	16	18	100%	-
C_gar_LG12	I_furcatus	18	18	100%	-
C_gar_LG12	I_punctatus	15	18	100%	-
C_gar_LG12	N_graeffei	21	18	100%	-
C_gar_LG12	P_hypophthalmus	20	18	100%	-
C_gar_LG12	P_lineatus	6	18	100%	-
C_gar_LG12	S_aristotelis	24	18	100%	-
C_gar_LG12	S_meridionalis	12	18	100%	-
C_gar_LG12	T_fulvidraco	18	18	100%	-
C_gar_LG12	T_rosablanca	1	18	100%	-
C_gar_LG12	T_vachellii	16	18	100%	-
C_gar_LG12	fClaHyb_Gar	C_gar_LG12	18	100%	-
C_gar_LG12	fClaHyb_Mac	C_mac_LG12	18	100%	-
C_gar_LG13	A_melas	10	53	100%	-
C_gar_LG13	C_apus	13	53	100%	-
C_gar_LG13	C_bouderius	9	42	79%	14(9)
C_gar_LG13	C_fuscus	13	53	100%	-
C_gar_LG13	C_gariepinus	13	53	100%	-
C_gar_LG13	H_wyckioides	7	53	100%	-
C_gar_LG13	I_furcatus	9	53	100%	-
C_gar_LG13	I_punctatus	9	53	100%	-
C_gar_LG13	N_graeffei	11	53	100%	-
C_gar_LG13	P_hypophthalmus	10	53	100%	-
C_gar_LG13	P_lineatus	5	44	83%	4(9)
C_gar_LG13	S_aristotelis	6	37	70%	9(16)
C_gar_LG13	S_meridionalis	6	53	100%	-
C_gar_LG13	T_fulvidraco	10	53	100%	-
C_gar_LG13	T_rosablanca	13	53	100%	-
C_gar_LG13	T_vachellii	10	53	100%	-
C_gar_LG13	fClaHyb_Gar	C_gar_LG13	53	100%	-
C_gar_LG13	fClaHyb_Mac	C_mac_LG23	52	98%	-
C_gar_LG14	A_melas	9	37	100%	-
C_gar_LG14	C_apus	1	37	100%	-
C_gar_LG14	C_bouderius	24	20	54%	28(17)
C_gar_LG14	C_fuscus	17	37	100%	-
C_gar_LG14	C_gariepinus	14	37	100%	-
C_gar_LG14	H_wyckioides	10	37	100%	-
C_gar_LG14	I_furcatus	14	37	100%	-
C_gar_LG14	I_punctatus	12	37	100%	-
C_gar_LG14	N_graeffei	14	37	100%	-
C_gar_LG14	P_hypophthalmus	12	37	100%	-
C_gar_LG14	P_lineatus	3	37	100%	-
C_gar_LG14	S_aristotelis	12	37	100%	-
C_gar_LG14	S_meridionalis	11	37	100%	-
C_gar_LG14	T_fulvidraco	12	37	100%	-
C_gar_LG14	T_rosablanca	10	36	97%	-
C_gar_LG14	T_vachellii	2	37	100%	-
C_gar_LG14	fClaHyb_Gar	C_gar_LG14	37	100%	-
C_gar_LG14	fClaHyb_Mac	C_mac_LG27	37	100%	-
C_gar_LG15	A_melas	11	40	98%	-
C_gar_LG15	C_apus	16	40	98%	-
C_gar_LG15	C_bouderius	33	21	51%	19(19)
C_gar_LG15	C_fuscus	16	40	98%	-
C_gar_LG15	C_gariepinus	15	40	98%	-
C_gar_LG15	H_wyckioides	14	40	98%	-
C_gar_LG15	I_furcatus	10	40	98%	-
C_gar_LG15	I_punctatus	11	40	98%	-
C_gar_LG15	N_graeffei	15	40	98%	-
C_gar_LG15	P_hypophthalmus	11	39	95%	-
C_gar_LG15	P_lineatus	10	27	66%	24(13)
C_gar_LG15	S_aristotelis	13	40	98%	-
C_gar_LG15	S_meridionalis	13	40	98%	-
C_gar_LG15	T_fulvidraco	2	40	98%	-
C_gar_LG15	T_rosablanca	17	40	98%	-
C_gar_LG15	T_vachellii	1	40	98%	-
C_gar_LG15	fClaHyb_Gar	C_gar_LG15	41	100%	-
C_gar_LG15	fClaHyb_Mac	C_mac_LG20	40	98%	-
C_gar_LG16	A_melas	2	27	100%	-
C_gar_LG16	C_apus	18	27	100%	-
C_gar_LG16	C_bouderius	20	20	74%	29(6)
C_gar_LG16	C_fuscus	19	27	100%	-
C_gar_LG16	C_gariepinus	16	27	100%	-
C_gar_LG16	H_wyckioides	11	27	100%	-
C_gar_LG16	I_furcatus	1	27	100%	-
C_gar_LG16	I_punctatus	1	27	100%	-
C_gar_LG16	N_graeffei	20	27	100%	-
C_gar_LG16	P_hypophthalmus	14	27	100%	-
C_gar_LG16	P_lineatus	13	15	56%	11(12)
C_gar_LG16	S_aristotelis	17	27	100%	-
C_gar_LG16	S_meridionalis	17	27	100%	-
C_gar_LG16	T_fulvidraco	16	27	100%	-
C_gar_LG16	T_rosablanca	22	27	100%	-
C_gar_LG16	T_vachellii	18	27	100%	-
C_gar_LG16	fClaHyb_Gar	C_gar_LG16	27	100%	-
C_gar_LG16	fClaHyb_Mac	C_mac_LG10	27	100%	-
C_gar_LG17	A_melas	12	39	100%	-
C_gar_LG17	C_apus	17	39	100%	-
C_gar_LG17	C_bouderius	16	34	87%	19(5)
C_gar_LG17	C_fuscus	20	39	100%	-
C_gar_LG17	C_gariepinus	17	39	100%	-
C_gar_LG17	H_wyckioides	18	39	100%	-
C_gar_LG17	I_furcatus	13	39	100%	-
C_gar_LG17	I_punctatus	16	39	100%	-
C_gar_LG17	N_graeffei	25	39	100%	-
C_gar_LG17	P_hypophthalmus	17	39	100%	-
C_gar_LG17	P_lineatus	23	16	41%	8(15)
C_gar_LG17	S_aristotelis	18	39	100%	-
C_gar_LG17	S_meridionalis	18	39	100%	-
C_gar_LG17	T_fulvidraco	20	39	100%	-
C_gar_LG17	T_rosablanca	18	38	97%	-
C_gar_LG17	T_vachellii	20	39	100%	-
C_gar_LG17	fClaHyb_Gar	C_gar_LG17	39	100%	-
C_gar_LG17	fClaHyb_Mac	C_mac_LG21	39	100%	-
C_gar_LG18	A_melas	21	20	100%	-
C_gar_LG18	C_apus	21	19	95%	-
C_gar_LG18	C_bouderius	18	20	100%	-
C_gar_LG18	C_fuscus	24	20	100%	-
C_gar_LG18	C_gariepinus	18	20	100%	-
C_gar_LG18	H_wyckioides	20	20	100%	-
C_gar_LG18	I_furcatus	25	20	100%	-
C_gar_LG18	I_punctatus	25	20	100%	-
C_gar_LG18	N_graeffei	19	20	100%	-
C_gar_LG18	P_hypophthalmus	25	20	100%	-
C_gar_LG18	P_lineatus	17	20	100%	-
C_gar_LG18	S_aristotelis	20	20	100%	-
C_gar_LG18	S_meridionalis	19	20	100%	-
C_gar_LG18	T_fulvidraco	22	20	100%	-
C_gar_LG18	T_rosablanca	15	20	100%	-
C_gar_LG18	T_vachellii	24	20	100%	-
C_gar_LG18	fClaHyb_Gar	C_gar_LG18	20	100%	-
C_gar_LG18	fClaHyb_Mac	C_mac_LG16	20	100%	-
C_gar_LG19	A_melas	18	34	97%	-
C_gar_LG19	C_apus	22	20	57%	3(9)
C_gar_LG19	C_bouderius	7	32	91%	-
C_gar_LG19	C_fuscus	27	20	57%	9(15)
C_gar_LG19	C_gariepinus	19	35	100%	-
C_gar_LG19	H_wyckioides	15	34	97%	-
C_gar_LG19	I_furcatus	19	34	97%	-
C_gar_LG19	I_punctatus	19	34	97%	-
C_gar_LG19	N_graeffei	12	34	97%	-
C_gar_LG19	P_hypophthalmus	15	34	97%	-
C_gar_LG19	P_lineatus	8	33	94%	-
C_gar_LG19	S_aristotelis	16	34	97%	-
C_gar_LG19	S_meridionalis	16	34	97%	-
C_gar_LG19	T_fulvidraco	17	34	97%	-
C_gar_LG19	T_rosablanca	16	34	97%	-
C_gar_LG19	T_vachellii	17	34	97%	-
C_gar_LG19	fClaHyb_Gar	C_gar_LG19	35	100%	-
C_gar_LG19	fClaHyb_Mac	C_mac_LG09	35	100%	-
C_gar_LG20	A_melas	27	11	100%	-
C_gar_LG20	C_apus	3	7	64%	-
C_gar_LG20	C_bouderius	1	9	82%	-
C_gar_LG20	C_fuscus	22	11	100%	-
C_gar_LG20	C_gariepinus	20	11	100%	-
C_gar_LG20	H_wyckioides	28	11	100%	-
C_gar_LG20	I_furcatus	29	11	100%	-
C_gar_LG20	I_punctatus	29	11	100%	-
C_gar_LG20	N_graeffei	3	11	100%	-
C_gar_LG20	P_hypophthalmus	28	11	100%	-
C_gar_LG20	P_lineatus	19	11	100%	-
C_gar_LG20	S_aristotelis	27	11	100%	-
C_gar_LG20	S_meridionalis	28	11	100%	-
C_gar_LG20	T_fulvidraco	7	11	100%	-
C_gar_LG20	T_rosablanca	14	11	100%	-
C_gar_LG20	T_vachellii	2	11	100%	-
C_gar_LG20	fClaHyb_Gar	C_gar_LG20	11	100%	-
C_gar_LG20	fClaHyb_Mac	C_mac_LG11	11	100%	-
C_gar_LG21	A_melas	22	21	100%	-
C_gar_LG21	C_apus	19	21	100%	-
C_gar_LG21	C_bouderius	31	8	38%	15(7)
C_gar_LG21	C_fuscus	5	21	100%	-
C_gar_LG21	C_gariepinus	21	21	100%	-
C_gar_LG21	H_wyckioides	19	20	95%	-
C_gar_LG21	I_furcatus	23	21	100%	-
C_gar_LG21	I_punctatus	24	21	100%	-
C_gar_LG21	N_graeffei	24	21	100%	-
C_gar_LG21	P_hypophthalmus	23	21	100%	-
C_gar_LG21	P_lineatus	7	16	76%	-
C_gar_LG21	S_aristotelis	23	21	100%	-
C_gar_LG21	S_meridionalis	22	21	100%	-
C_gar_LG21	T_fulvidraco	8	21	100%	-
C_gar_LG21	T_rosablanca	21	21	100%	-
C_gar_LG21	T_vachellii	12	21	100%	-
C_gar_LG21	fClaHyb_Gar	C_gar_LG21	21	100%	-
C_gar_LG21	fClaHyb_Mac	C_mac_LG15	20	95%	-
C_gar_LG22	A_melas	17	20	100%	-
C_gar_LG22	C_apus	14	20	100%	-
C_gar_LG22	C_bouderius	25	10	50%	36(10)
C_gar_LG22	C_fuscus	18	20	100%	-
C_gar_LG22	C_gariepinus	22	20	100%	-
C_gar_LG22	H_wyckioides	17	20	100%	-
C_gar_LG22	I_furcatus	17	20	100%	-
C_gar_LG22	I_punctatus	17	20	100%	-
C_gar_LG22	N_graeffei	13	20	100%	-
C_gar_LG22	P_hypophthalmus	16	20	100%	-
C_gar_LG22	P_lineatus	11	10	50%	4(10)
C_gar_LG22	S_aristotelis	19	20	100%	-
C_gar_LG22	S_meridionalis	27	19	95%	-
C_gar_LG22	T_fulvidraco	19	20	100%	-
C_gar_LG22	T_rosablanca	19	20	100%	-
C_gar_LG22	T_vachellii	19	20	100%	-
C_gar_LG22	fClaHyb_Gar	C_gar_LG22	20	100%	-
C_gar_LG22	fClaHyb_Mac	C_mac_LG24	19	95%	-
C_gar_LG23	A_melas	1	19	100%	-
C_gar_LG23	C_apus	20	19	100%	-
C_gar_LG23	C_bouderius	38	13	68%	24(5)
C_gar_LG23	C_fuscus	12	12	63%	14(7)
C_gar_LG23	C_gariepinus	23	19	100%	-
C_gar_LG23	H_wyckioides	22	19	100%	-
C_gar_LG23	I_furcatus	21	19	100%	-
C_gar_LG23	I_punctatus	22	19	100%	-
C_gar_LG23	N_graeffei	26	19	100%	-
C_gar_LG23	P_hypophthalmus	19	19	100%	-
C_gar_LG23	P_lineatus	5	17	89%	-
C_gar_LG23	S_aristotelis	28	13	68%	29(6)
C_gar_LG23	S_meridionalis	25	19	100%	-
C_gar_LG23	T_fulvidraco	2	17	89%	-
C_gar_LG23	T_rosablanca	24	19	100%	-
C_gar_LG23	T_vachellii	22	19	100%	-
C_gar_LG23	fClaHyb_Gar	C_gar_LG23	19	100%	-
C_gar_LG23	fClaHyb_Mac	C_mac_LG01	19	100%	-
C_gar_LG24	A_melas	24	32	100%	-
C_gar_LG24	C_apus	3	21	66%	27(11)
C_gar_LG24	C_bouderius	31	21	66%	6(7)
C_gar_LG24	C_fuscus	9	32	100%	-
C_gar_LG24	C_gariepinus	24	32	100%	-
C_gar_LG24	H_wyckioides	27	31	97%	-
C_gar_LG24	I_furcatus	27	31	97%	-
C_gar_LG24	I_punctatus	27	32	100%	-
C_gar_LG24	N_graeffei	28	32	100%	-
C_gar_LG24	P_hypophthalmus	27	32	100%	-
C_gar_LG24	P_lineatus	13	31	97%	-
C_gar_LG24	S_aristotelis	26	32	100%	-
C_gar_LG24	S_meridionalis	26	32	100%	-
C_gar_LG24	T_fulvidraco	26	32	100%	-
C_gar_LG24	T_rosablanca	26	32	100%	-
C_gar_LG24	T_vachellii	26	31	97%	-
C_gar_LG24	fClaHyb_Gar	C_gar_LG24	32	100%	-
C_gar_LG24	fClaHyb_Mac	C_mac_LG17	32	100%	-
C_gar_LG25	A_melas	19	31	100%	-
C_gar_LG25	C_apus	2	31	100%	-
C_gar_LG25	C_bouderius	2	17	55%	37(13)
C_gar_LG25	C_fuscus	28	17	55%	5(14)
C_gar_LG25	C_gariepinus	25	31	100%	-
C_gar_LG25	H_wyckioides	21	31	100%	-
C_gar_LG25	I_furcatus	20	31	100%	-
C_gar_LG25	I_punctatus	20	31	100%	-
C_gar_LG25	N_graeffei	23	31	100%	-
C_gar_LG25	P_hypophthalmus	21	31	100%	-
C_gar_LG25	P_lineatus	16	31	100%	-
C_gar_LG25	S_aristotelis	22	31	100%	-
C_gar_LG25	S_meridionalis	21	31	100%	-
C_gar_LG25	T_fulvidraco	24	31	100%	-
C_gar_LG25	T_rosablanca	25	31	100%	-
C_gar_LG25	T_vachellii	1	31	100%	-
C_gar_LG25	fClaHyb_Gar	C_gar_LG25	31	100%	-
C_gar_LG25	fClaHyb_Mac	C_mac_LG13	31	100%	-
C_gar_LG26	A_melas	20	26	100%	-
C_gar_LG26	C_apus	12	25	96%	-
C_gar_LG26	C_bouderius	5	26	100%	-
C_gar_LG26	C_fuscus	23	26	100%	-
C_gar_LG26	C_gariepinus	26	26	100%	-
C_gar_LG26	H_wyckioides	25	26	100%	-
C_gar_LG26	I_furcatus	24	26	100%	-
C_gar_LG26	I_punctatus	23	26	100%	-
C_gar_LG26	N_graeffei	18	26	100%	-
C_gar_LG26	P_hypophthalmus	22	26	100%	-
C_gar_LG26	P_lineatus	12	16	62%	7(10)
C_gar_LG26	S_aristotelis	25	26	100%	-
C_gar_LG26	S_meridionalis	24	26	100%	-
C_gar_LG26	T_fulvidraco	25	26	100%	-
C_gar_LG26	T_rosablanca	23	26	100%	-
C_gar_LG26	T_vachellii	25	26	100%	-
C_gar_LG26	fClaHyb_Gar	C_gar_LG26	26	100%	-
C_gar_LG26	fClaHyb_Mac	C_mac_LG18	26	100%	-
C_gar_LG27	A_melas	28	28	85%	12(5)
C_gar_LG27	C_apus	25	33	100%	-
C_gar_LG27	C_bouderius	13	33	100%	-
C_gar_LG27	C_fuscus	26	33	100%	-
C_gar_LG27	C_gariepinus	27	33	100%	-
C_gar_LG27	H_wyckioides	23	33	100%	-
C_gar_LG27	I_furcatus	22	33	100%	-
C_gar_LG27	I_punctatus	26	33	100%	-
C_gar_LG27	N_graeffei	3	33	100%	-
C_gar_LG27	P_hypophthalmus	18	33	100%	-
C_gar_LG27	P_lineatus	10	23	70%	24(10)
C_gar_LG27	S_aristotelis	15	33	100%	-
C_gar_LG27	S_meridionalis	15	33	100%	-
C_gar_LG27	T_fulvidraco	21	33	100%	-
C_gar_LG27	T_rosablanca	9	32	97%	-
C_gar_LG27	T_vachellii	3	33	100%	-
C_gar_LG27	fClaHyb_Gar	C_gar_LG27	33	100%	-
C_gar_LG27	fClaHyb_Mac	C_mac_LG01	33	100%	-
C_gar_LG28	A_melas	14	12	92%	-
C_gar_LG28	C_apus	2	12	92%	-
C_gar_LG28	C_bouderius	10	6	46%	12(5)
C_gar_LG28	C_fuscus	14	12	92%	-
C_gar_LG28	C_gariepinus	28	13	100%	-
C_gar_LG28	H_wyckioides	29	12	92%	-
C_gar_LG28	I_furcatus	12	13	100%	-
C_gar_LG28	I_punctatus	8	12	92%	-
C_gar_LG28	N_graeffei	22	12	92%	-
C_gar_LG28	P_hypophthalmus	29	12	92%	-
C_gar_LG28	P_lineatus	4	9	69%	-
C_gar_LG28	S_aristotelis	6	12	92%	-
C_gar_LG28	S_meridionalis	29	12	92%	-
C_gar_LG28	T_fulvidraco	7	12	92%	-
C_gar_LG28	T_rosablanca	2	12	92%	-
C_gar_LG28	T_vachellii	3	12	92%	-
C_gar_LG28	fClaHyb_Gar	C_gar_LG28	13	100%	-
C_gar_LG28	fClaHyb_Mac	C_mac_LG06	9	69%	-
